id,offset,accuracy,accuracy_index,answer,behind_beat,track_id,track_name,track_random_intercept,track_random_slope,difficulty_with_track_effect,difficulty_without_track_effect,discrimination,guessing,inattention,file_name
130,-0.099440851,0.82,15,2,FALSE,1,boabab,-2.593740662,1.8063247,1.503504638,0.549341338,1.166,0.5,1,130_2_-0.0994_beep_boabab.mp3
131,-0.097930824,0.825,16,1,FALSE,1,boabab,-2.593740662,1.8063247,1.53198352,0.585566038,1.166,0.5,1,131_1_-0.0979_beep_boabab.mp3
132,-0.097930824,0.825,16,2,FALSE,1,boabab,-2.593740662,1.8063247,1.53198352,0.585566038,1.166,0.5,1,132_2_-0.0979_beep_boabab.mp3
133,-0.096404914,0.83,17,1,FALSE,1,boabab,-2.593740662,1.8063247,1.560462402,0.621790738,1.166,0.5,1,133_1_-0.0964_beep_boabab.mp3
134,-0.096404914,0.83,17,2,FALSE,1,boabab,-2.593740662,1.8063247,1.560462402,0.621790738,1.166,0.5,1,134_2_-0.0964_beep_boabab.mp3
135,-0.094862268,0.835,18,1,FALSE,1,boabab,-2.593740662,1.8063247,1.588941284,0.658015437,1.166,0.5,1,135_1_-0.0949_beep_boabab.mp3
136,-0.094862268,0.835,18,2,FALSE,1,boabab,-2.593740662,1.8063247,1.588941284,0.658015437,1.166,0.5,1,136_2_-0.0949_beep_boabab.mp3
137,-0.09330197,0.84,19,1,FALSE,1,boabab,-2.593740662,1.8063247,1.617420167,0.694240137,1.166,0.5,1,137_1_-0.0933_beep_boabab.mp3
138,-0.09330197,0.84,19,2,FALSE,1,boabab,-2.593740662,1.8063247,1.617420167,0.694240137,1.166,0.5,1,138_2_-0.0933_beep_boabab.mp3
139,-0.091723031,0.845,20,1,FALSE,1,boabab,-2.593740662,1.8063247,1.645899049,0.730464837,1.166,0.5,1,139_1_-0.0917_beep_boabab.mp3
140,-0.091723031,0.845,20,2,FALSE,1,boabab,-2.593740662,1.8063247,1.645899049,0.730464837,1.166,0.5,1,140_2_-0.0917_beep_boabab.mp3
141,-0.090124388,0.85,21,1,FALSE,1,boabab,-2.593740662,1.8063247,1.674377931,0.766689537,1.166,0.5,1,141_1_-0.0901_beep_boabab.mp3
142,-0.090124388,0.85,21,2,FALSE,1,boabab,-2.593740662,1.8063247,1.674377931,0.766689537,1.166,0.5,1,142_2_-0.0901_beep_boabab.mp3
143,-0.088504884,0.855,22,1,FALSE,1,boabab,-2.593740662,1.8063247,1.702856813,0.802914237,1.166,0.5,1,143_1_-0.0885_beep_boabab.mp3
144,-0.088504884,0.855,22,2,FALSE,1,boabab,-2.593740662,1.8063247,1.702856813,0.802914237,1.166,0.5,1,144_2_-0.0885_beep_boabab.mp3
145,-0.086863268,0.86,23,1,FALSE,1,boabab,-2.593740662,1.8063247,1.731335695,0.839138937,1.166,0.5,1,145_1_-0.0869_beep_boabab.mp3
146,-0.086863268,0.86,23,2,FALSE,1,boabab,-2.593740662,1.8063247,1.731335695,0.839138937,1.166,0.5,1,146_2_-0.0869_beep_boabab.mp3
147,-0.085198173,0.865,24,1,FALSE,1,boabab,-2.593740662,1.8063247,1.759814577,0.875363636,1.166,0.5,1,147_1_-0.0852_beep_boabab.mp3
148,-0.085198173,0.865,24,2,FALSE,1,boabab,-2.593740662,1.8063247,1.759814577,0.875363636,1.166,0.5,1,148_2_-0.0852_beep_boabab.mp3
149,-0.083508108,0.87,25,1,FALSE,1,boabab,-2.593740662,1.8063247,1.788293459,0.911588336,1.166,0.5,1,149_1_-0.0835_beep_boabab.mp3
150,-0.083508108,0.87,25,2,FALSE,1,boabab,-2.593740662,1.8063247,1.788293459,0.911588336,1.166,0.5,1,150_2_-0.0835_beep_boabab.mp3
151,-0.081791438,0.875,25,1,FALSE,1,boabab,-2.593740662,1.8063247,1.816772341,0.947813036,1.166,0.5,1,151_1_-0.0818_beep_boabab.mp3
152,-0.081791438,0.875,25,2,FALSE,1,boabab,-2.593740662,1.8063247,1.816772341,0.947813036,1.166,0.5,1,152_2_-0.0818_beep_boabab.mp3
153,-0.080046363,0.88,24,1,FALSE,1,boabab,-2.593740662,1.8063247,1.845251223,0.984037736,1.166,0.5,1,153_1_-0.08_beep_boabab.mp3
154,-0.080046363,0.88,24,2,FALSE,1,boabab,-2.593740662,1.8063247,1.845251223,0.984037736,1.166,0.5,1,154_2_-0.08_beep_boabab.mp3
155,-0.078270895,0.885,23,1,FALSE,1,boabab,-2.593740662,1.8063247,1.873730105,1.020262436,1.166,0.5,1,155_1_-0.0783_beep_boabab.mp3
156,-0.078270895,0.885,23,2,FALSE,1,boabab,-2.593740662,1.8063247,1.873730105,1.020262436,1.166,0.5,1,156_2_-0.0783_beep_boabab.mp3
157,-0.076462826,0.89,22,1,FALSE,1,boabab,-2.593740662,1.8063247,1.902208987,1.056487136,1.166,0.5,1,157_1_-0.0765_beep_boabab.mp3
158,-0.076462826,0.89,22,2,FALSE,1,boabab,-2.593740662,1.8063247,1.902208987,1.056487136,1.166,0.5,1,158_2_-0.0765_beep_boabab.mp3
159,-0.074619698,0.895,21,1,FALSE,1,boabab,-2.593740662,1.8063247,1.930687869,1.092711835,1.166,0.5,1,159_1_-0.0746_beep_boabab.mp3
160,-0.074619698,0.895,21,2,FALSE,1,boabab,-2.593740662,1.8063247,1.930687869,1.092711835,1.166,0.5,1,160_2_-0.0746_beep_boabab.mp3
161,-0.072738754,0.9,20,1,FALSE,1,boabab,-2.593740662,1.8063247,1.959166751,1.128936535,1.166,0.5,1,161_1_-0.0727_beep_boabab.mp3
